Data is to be used only for analysis purposes related to broadband mapping,,,,
For questions contact bbdata@microsoft.com,,,,
,,,,
Broadband availability in the United States based on the FCC,,,,
Fourteenth Broadband Deployment Report: https://www.fcc.gov/reports-research/reports/broadband-progress-reports/fourteenth-broadband-deployment-report,,,,
Form 477 data as of December 2019,,,,
,,,,
Broadband* usage in the United States based on Microsoft data,,,,
Data for October 2020,,,,
* Download speed benchmark of 25Mbps,,,,
,,,,
Field list,Notes,,,
IL,17077,Jackson County,0.9996,0.35
IL,17079,Jasper County,0.5011,0.309
IL,17081,Jefferson County,0.9937,0.498
IL,17083,Jersey County,0.985,0.262
IL,17085,Jo Daviess County,0.8842,0.38
IL,17087,Johnson County,0.5514,0.168
IL,17089,Kane County,0.9907,0.716
IL,17091,Kankakee County,0.9775,0.534
IL,17093,Kendall County,0.9879,0.739
IL,17095,Knox County,1,0.478
IL,17097,Lake County,0.9908,0.771
IL,17099,LaSalle County,1,0.415
IL,17101,Lawrence County,0.7775,0.32
IL,17103,Lee County,1,0.347
IL,17105,Livingston County,1,0.334
IL,17107,Logan County,0.9351,0.424
IL,17109,McDonough County,0.9881,0.464
IL,17111,McHenry County,0.9971,0.726
IL,17113,McLean County,0.9764,0.662
IL,17115,Macon County,0.9936,0.636
IL,17117,Macoupin County,0.8394,0.279
IL,17119,Madison County,0.999,0.523
IL,17121,Marion County,0.923,0.444
IL,17123,Marshall County,1,0.177
IL,17125,Mason County,0.7953,0.18
IL,17127,Massac County,0.7344,0.106
IL,17129,Menard County,0.962,0.141
IL,17131,Mercer County,1,0.232
IL,17133,Monroe County,0.9844,0.743
IL,17135,Montgomery County,0.8669,0.294
IL,17137,Morgan County,0.8969,0.399
IL,17139,Moultrie County,0.9542,0.237
IL,17141,Ogle County,0.9593,0.281
IL,17143,Peoria County,1,0.564
IL,17145,Perry County,0.9591,0.295
IL,17147,Piatt County,0.9611,0.366
IL,17149,Pike County,0.875,0.285
IL,17151,Pope County,0.8391,0.308
IL,17153,Pulaski County,0.4489,0.11
IL,17155,Putnam County,1,0.168
IL,17157,Randolph County,0.9608,0.248
IL,17159,Richland County,0.7528,0.38
IL,17161,Rock Island County,1,0.471
IL,17163,St. Clair County,1,0.558
IL,17165,Saline County,0.8336,0.25
IL,17167,Sangamon County,0.9842,0.665
IL,17169,Schuyler County,0.6164,0.21
IL,17171,Scott County,0.9307,0.418
IL,17173,Shelby County,0.8972,0.242
IL,17175,Stark County,1,0.235
IL,17177,Stephenson County,0.9752,0.511
IL,17179,Tazewell County,0.9757,0.673
IL,17181,Union County,0.8032,0.206
IL,17183,Vermilion County,0.9459,0.371
IL,17185,Wabash County,0.8751,0.203
IL,17187,Warren County,1,0.226
IL,17189,Washington County,0.8827,0.201
IL,17191,Wayne County,0.9312,0.219
IL,17193,White County,0.8142,0.292
IL,17195,Whiteside County,1,0.462
IL,17197,Will County,0.9943,0.715
IL,17199,Williamson County,0.9238,0.529
IL,17201,Winnebago County,0.9832,0.663
IL,17203,Woodford County,1,0.62
IN,18001,Adams County,0.9999,0.273
IN,18003,Allen County,0.9911,0.605
IN,18005,Bartholomew County,0.9371,0.571
IN,18007,Benton County,0.9238,0.032
IN,18009,Blackford County,1,0.295
IN,18011,Boone County,0.9392,0.616
IN,18013,Brown County,0.9102,0.241
IN,18015,Carroll County,0.6315,0.167
IN,18017,Cass County,0.9383,0.231
IN,18019,Clark County,0.9646,0.619
IN,18021,Clay County,0.9458,0.386
IN,18023,Clinton County,0.9184,0.347
IN,18025,Crawford County,0.3453,0.054
IN,18027,Daviess County,0.9961,0.384
IN,18029,Dearborn County,0.9599,0.477
IN,18031,Decatur County,0.7557,0.359
IN,18033,DeKalb County,0.9825,0.387
IN,18035,Delaware County,1,0.397
IN,18037,Dubois County,0.7935,0.356
IN,18039,Elkhart County,0.9767,0.529
IN,18041,Fayette County,1,0.308
IN,18043,Floyd County,0.9916,0.728
IN,18045,Fountain County,0.8935,0.094
IN,18047,Franklin County,0.7032,0.196
IN,18049,Fulton County,1,0.369
IN,18051,Gibson County,0.8733,0.182
IN,18053,Grant County,0.9418,0.407
IN,18055,Greene County,0.8647,0.182
IN,18057,Hamilton County,0.9985,0.775
IN,18059,Hancock County,0.9905,0.808
IN,18061,Harrison County,0.9686,0.278
IN,18063,Hendricks County,0.972,0.708
IN,18065,Henry County,0.9834,0.157
IN,18067,Howard County,0.9627,0.652
IN,18069,Huntington County,0.9993,0.141
IN,18071,Jackson County,0.9875,0.582
IN,18073,Jasper County,0.8557,0.265
IN,18075,Jay County,0.9495,0.256
IN,18077,Jefferson County,0.8644,0.484
IN,18079,Jennings County,0.8202,0.241
IN,18081,Johnson County,0.9648,0.712
IN,18083,Knox County,1,0.702
IN,18085,Kosciusko County,0.9947,0.472
IN,18087,LaGrange County,0.685,0.089
IN,18089,Lake County,0.9976,0.63
IN,18091,LaPorte County,0.9949,0.732
IN,18093,Lawrence County,0.8562,0.253
IN,18095,Madison County,1,0.44
IN,18097,Marion County,0.9993,0.557
IN,18099,Marshall County,1,0.235
IN,18101,Martin County,0.8624,0.076
IN,18103,Miami County,0.952,0.382
IN,18105,Monroe County,0.9428,0.579
IN,18107,Montgomery County,0.7942,0.236
IN,18109,Morgan County,0.9481,0.405
IN,18111,Newton County,0.972,0.236
IN,18113,Noble County,0.8944,0.355
IN,18115,Ohio County,0.7971,0.169
IN,18117,Orange County,0.9115,0.379
IN,18119,Owen County,0.8175,0.184
IN,18121,Parke County,0.7417,0.152
IN,18123,Perry County,0.8366,0.357
IN,18125,Pike County,0.9471,0.079
IN,18127,Porter County,1,0.665
IN,18129,Posey County,0.7333,0.133
IN,18131,Pulaski County,0.7016,0.212
IN,18133,Putnam County,0.7649,0.446
IN,18135,Randolph County,0.9988,0.094
IN,18137,Ripley County,0.6632,0.299
IN,18139,Rush County,0.9941,0.137
IN,18141,St. Joseph County,0.994,0.507
IN,18143,Scott County,1,0.457
IN,18145,Shelby County,0.8156,0.383
IN,18147,Spencer County,0.7484,0.243
IN,18149,Starke County,0.9357,0.231
IN,18151,Steuben County,0.9512,0.299
IN,18153,Sullivan County,0.943,0.096
IN,18155,Switzerland County,0.2662,0.069
IN,18157,Tippecanoe County,0.9689,0.531
IN,18159,Tipton County,1,0.216
IN,18161,Union County,0.9991,0.111
IN,18163,Vanderburgh County,0.9887,0.531
IN,18165,Vermillion County,0.9655,0.175
IN,18167,Vigo County,0.9709,0.473
IN,18169,Wabash County,0.9986,0.118
IN,18171,Warren County,0.8863,0.102
IN,18173,Warrick County,0.8981,0.491
IN,18175,Washington County,0.9982,0.321
IN,18177,Wayne County,1,0.732
IN,18179,Wells County,0.9408,0.305
IN,18181,White County,0.915,0.572
IN,18183,Whitley County,1,0.256
IA,19001,Adair County,0.9074,0.188
IA,19003,Adams County,0.666,0.192
IA,19005,Allamakee County,0.8479,0.189
IA,19007,Appanoose County,0.983,0.31
IA,19009,Audubon County,0.9285,0.197
IA,19011,Benton County,0.9483,0.357
IA,19013,Black Hawk County,0.9993,0.636
IA,19015,Boone County,0.9867,0.303
IA,19017,Bremer County,0.9971,0.555
IA,19019,Buchanan County,0.943,0.435
IA,19021,Buena Vista County,0.993,0.389
IA,19023,Butler County,0.9861,0.253
IA,19025,Calhoun County,0.8388,0.2
IA,19027,Carroll County,0.938,0.487
IA,19029,Cass County,0.9929,0.392
IA,19031,Cedar County,0.8933,0.35
IA,19033,Cerro Gordo County,0.9997,0.666
IA,19035,Cherokee County,0.9529,0.329
IA,19037,Chickasaw County,0.979,0.245
IA,19039,Clarke County,0.8838,0.51
IA,19041,Clay County,0.9884,0.825
IA,19043,Clayton County,0.7814,0.384
IA,19045,Clinton County,0.9645,0.694
IA,19047,Crawford County,0.8869,0.212
IA,19049,Dallas County,0.9792,0.443
IA,19051,Davis County,0.8446,0.445
IA,19053,Decatur County,0.9452,0.301
IA,19055,Delaware County,0.9777,0.362
IA,19057,Des Moines County,0.9483,0.895
IA,19059,Dickinson County,0.9926,0.585
IA,19061,Dubuque County,0.989,0.567
IA,19063,Emmet County,0.9933,0.439
IA,19065,Fayette County,0.9226,0.202
IA,19067,Floyd County,0.9923,0.6
IA,19069,Franklin County,0.9892,0.185
IA,19071,Fremont County,0.9793,0.13
IA,19073,Greene County,0.9837,0.468
IA,19075,Grundy County,0.9992,0.316
IA,19077,Guthrie County,0.935,0.383
IA,19079,Hamilton County,0.9783,0.237
IA,19081,Hancock County,0.9771,0.481
IA,19083,Hardin County,0.9616,0.278
IA,19085,Harrison County,1,0.199
IA,19087,Henry County,0.8929,0.454
IA,19089,Howard County,0.979,0.236
IA,19091,Humboldt County,0.8523,0.223
IA,19093,Ida County,0.948,0.221
IA,19095,Iowa County,0.8527,0.398
IA,19097,Jackson County,0.9396,0.355
IA,19099,Jasper County,0.9119,0.581
IA,19101,Jefferson County,0.9995,0.746
IA,19103,Johnson County,0.9403,0.519
IA,19105,Jones County,0.9465,0.327
IA,19107,Keokuk County,0.8503,0.305
IA,19109,Kossuth County,0.9542,0.386
IA,19111,Lee County,0.9409,0.477
IA,19113,Linn County,0.9856,0.62
IA,19115,Louisa County,0.7747,0.143
IA,19117,Lucas County,0.9523,0.396
IA,19119,Lyon County,0.9682,0.5
IA,19121,Madison County,0.9771,0.231
IA,19123,Mahaska County,0.974,0.467
IA,19125,Marion County,0.9014,0.395
IA,19127,Marshall County,0.945,0.416
IA,19129,Mills County,1,0.229
IA,19131,Mitchell County,0.9923,0.432
IA,19133,Monona County,0.9973,0.197
IA,19135,Monroe County,0.9337,0.413
IA,19137,Montgomery County,0.9923,0.811
IA,19139,Muscatine County,0.9233,0.444
IA,19141,O'Brien County,1,0.652
IA,19143,Osceola County,0.973,0.32
IA,19145,Page County,0.9171,0.44
IA,19147,Palo Alto County,0.966,0.4
IA,19149,Plymouth County,0.977,0.494
IA,19151,Pocahontas County,0.8618,0.313
IA,19153,Polk County,0.9738,0.579
IA,19155,Pottawattamie County,1,0.42
IA,19157,Poweshiek County,0.7889,0.471
IA,19159,Ringgold County,0.5911,0.215
IA,19161,Sac County,0.8985,0.282
IA,19163,Scott County,0.9804,0.698
IA,19165,Shelby County,0.9969,0.574
IA,19167,Sioux County,0.9933,0.632
IA,19169,Story County,0.9542,0.465
IA,19171,Tama County,0.8737,0.338
IA,19173,Taylor County,0.6978,0.118
IA,19175,Union County,0.9336,0.353
IA,19177,Van Buren County,0.7442,0.206
IA,19179,Wapello County,0.9445,0.602
IA,19181,Warren County,0.934,0.349
IA,19183,Washington County,0.9013,0.362
IA,19185,Wayne County,1,0.299
IA,19187,Webster County,0.9675,0.525
IA,19189,Winnebago County,0.9996,0.54
IA,19191,Winneshiek County,0.8991,0.385
IA,19193,Woodbury County,0.9703,0.464
IA,19195,Worth County,0.9993,0.428
IA,19197,Wright County,0.9854,0.294
KS,20001,Allen County,1,0.58
KS,20003,Anderson County,1,0.179
KS,20005,Atchison County,0.815,0.337
KS,20007,Barber County,0.8762,0.287
KS,20009,Barton County,0.9306,0.427
KS,20011,Bourbon County,0.9922,0.353
KS,20013,Brown County,0.7952,0.385
KS,20015,Butler County,0.9448,0.44
KS,20017,Chase County,0.1847,0.101
KS,20019,Chautauqua County,0.2951,0.122
KS,20021,Cherokee County,0.9865,0.21
KS,20023,Cheyenne County,0.5201,0.271
KS,20025,Clark County,0.4734,0.246
KS,20027,Clay County,0.9898,0.501
KS,20029,Cloud County,0.9925,0.421
KS,20031,Coffey County,0.9998,0.546
KS,20033,Comanche County,0.7541,0.169
KS,20035,Cowley County,0.9543,0.569
KS,20037,Crawford County,0.9595,0.735
KS,20039,Decatur County,0.7329,0.163
KS,20041,Dickinson County,0.9081,0.266
KS,20043,Doniphan County,0.8174,0.232
KS,20045,Douglas County,1,0.598
KS,20047,Edwards County,0.6934,0.108
KS,20049,Elk County,0.8866,0.402
KS,20051,Ellis County,0.9966,0.545
KS,20053,Ellsworth County,0.8877,0.317
KS,20055,Finney County,0.9939,0.474
KS,20057,Ford County,0.8317,0.456
KS,20059,Franklin County,1,0.384
KS,20061,Geary County,0.8476,0.608
KS,20063,Gove County,0.7147,0.168
KS,20065,Graham County,0.9855,0.242
KS,20067,Grant County,1,0.399
KS,20069,Gray County,0.8093,0.345
KS,20071,Greeley County,0.961,0.171
KS,20073,Greenwood County,0.3872,0.184
KS,20075,Hamilton County,1,0.386
KS,20077,Harper County,0.9925,0.363
KS,20079,Harvey County,0.9999,0.582
KS,20081,Haskell County,0.9841,0.218
KS,20083,Hodgeman County,0.6237,0.046
KS,20085,Jackson County,0.9278,0.216
KS,20087,Jefferson County,0.9743,0.133
KS,20089,Jewell County,0.9705,0.463
KS,20091,Johnson County,0.9997,0.72
KS,20093,Kearny County,0.9997,0.274
KS,20095,Kingman County,0.8788,0.232
KS,20097,Kiowa County,0.7899,0.247
KS,20099,Labette County,0.7649,0.299
KS,20101,Lane County,0.9798,0.098
KS,20103,Leavenworth County,0.9636,0.614
KS,20105,Lincoln County,0.8609,0.31
KS,20107,Linn County,1,0.19
KS,20109,Logan County,0.8923,0.366
KS,20111,Lyon County,0.9987,0.503
KS,20113,McPherson County,0.8303,0.654
KS,20115,Marion County,0.9076,0.25
KS,20117,Marshall County,0.9756,0.387
KS,20119,Meade County,0.001,0.141
KS,20121,Miami County,1,0.307
KS,20123,Mitchell County,0.9928,0.593
KS,20125,Montgomery County,0.9617,0.504
KS,20127,Morris County,0.9729,0.362
KS,20129,Morton County,1,0.251
KS,20131,Nemaha County,0.7369,0.271
KS,20133,Neosho County,0.9749,0.36
KS,20135,Ness County,0.8876,0.248
KS,20137,Norton County,0.7474,0.508
KS,20139,Osage County,1,0.171
KS,20141,Osborne County,0.9798,0.657
KS,20143,Ottawa County,0.8129,0.198
KS,20145,Pawnee County,0.9012,0.237
KS,20147,Phillips County,0.7572,0.687
KS,20149,Pottawatomie County,0.97,0.617
KS,20151,Pratt County,0.7943,0.884
KS,20153,Rawlins County,0.4617,0.199
KS,20155,Reno County,0.9656,0.407
KS,20157,Republic County,0.9312,0.284
KS,20159,Rice County,0.7795,0.201
KS,20161,Riley County,0.8863,0.522
KS,20163,Rooks County,0.8709,0.603
KS,20165,Rush County,0.8317,0.486
KS,20167,Russell County,0.9936,0.442
KS,20169,Saline County,0.9177,0.764
KS,20171,Scott County,0.9998,0.202
KS,20173,Sedgwick County,0.9863,0.645
KS,20175,Seward County,0.5745,0.213
KS,20177,Shawnee County,1,0.534
KS,20179,Sheridan County,0.7652,0.383
KS,20181,Sherman County,0.8655,0.324
KS,20183,Smith County,0.8758,0.703
KS,20185,Stafford County,0.7305,0.2
KS,20187,Stanton County,1,0.198
KS,20189,Stevens County,0.9872,0.426
KS,20191,Sumner County,0.9284,0.239
KS,20193,Thomas County,0.9025,0.414
KS,20195,Trego County,0.8816,0.437
KS,20197,Wabaunsee County,0.6707,0.183
KS,20199,Wallace County,0.53,0.247
KS,20201,Washington County,0.7952,0.358
KS,20203,Wichita County,0.9519,0.178
KS,20205,Wilson County,1,0.119
KS,20207,Woodson County,0.9175,0.105
KS,20209,Wyandotte County,0.9979,0.549
KY,21001,Adair County,0.7839,0.314
KY,21003,Allen County,0.9891,0.379
KY,21005,Anderson County,0.9866,0.422
KY,21007,Ballard County,0.7968,0.415
KY,21009,Barren County,0.8386,0.446
KY,21011,Bath County,0.9871,0.138
KY,21013,Bell County,0.9849,0.379
KY,21015,Boone County,0.9925,0.624
KY,21017,Bourbon County,0.9946,0.372
KY,21019,Boyd County,0.9737,0.577
KY,21021,Boyle County,0.9924,0.548
KY,21023,Bracken County,0.9889,0.118
KY,21025,Breathitt County,0.6861,0.094
KY,21027,Breckinridge County,0.7461,0.139
KY,21029,Bullitt County,0.9944,0.702
KY,21031,Butler County,0.2708,0.059
KY,21033,Caldwell County,0.6835,0.15
KY,21035,Calloway County,0.9557,0.525
KY,21037,Campbell County,0.994,0.583
KY,21039,Carlisle County,0.9599,0.106
KY,21041,Carroll County,0.8164,0.529
KY,21043,Carter County,0.8975,0.579
KY,21045,Casey County,0.9211,0.033
KY,21047,Christian County,0.8719,0.496
KY,21049,Clark County,0.9664,0.43
KY,21051,Clay County,0.9735,0.26
KY,21053,Clinton County,0.9208,0.129
KY,21055,Crittenden County,0.662,0.048
KY,21057,Cumberland County,0.5718,0.17
KY,21059,Daviess County,0.905,0.533
KY,21061,Edmonson County,0.8961,0.139
KY,21063,Elliott County,1,0.206
KY,21065,Estill County,0.9747,0.197
KY,21067,Fayette County,0.9974,0.619
KY,21069,Fleming County,0.9926,0.353
KY,21071,Floyd County,0.9417,0.243
KY,21073,Franklin County,0.9946,0.381
KY,21075,Fulton County,0.6264,0.083
KY,21077,Gallatin County,0.8629,0.273
KY,21079,Garrard County,0.9184,0.103
KY,21081,Grant County,0.9594,0.381
KY,21083,Graves County,0.9483,0.623
KY,21085,Grayson County,0.9031,0.153
KY,21087,Green County,0.879,0.199
KY,21089,Greenup County,0.9558,0.2
KY,21091,Hancock County,0.1833,0.051
KY,21093,Hardin County,0.9998,0.712
KY,21095,Harlan County,0.909,0.102
KY,21097,Harrison County,0.9988,0.208
KY,21099,Hart County,0.9056,0.214
KY,21101,Henderson County,0.8923,0.533
KY,21103,Henry County,0.8416,0.073
KY,21105,Hickman County,0.3247,0.134
KY,21107,Hopkins County,0.8195,0.344
KY,21109,Jackson County,0.9999,0.382
KY,21111,Jefferson County,0.9998,0.579
KY,21113,Jessamine County,0.9855,0.408
KY,21115,Johnson County,0.9877,0.388
KY,21117,Kenton County,0.9951,0.618
KY,21119,Knott County,0.9923,0.267
KY,21121,Knox County,0.9489,0.284
KY,21123,Larue County,0.8753,0.362
KY,21125,Laurel County,0.9882,0.611
KY,21127,Lawrence County,1,0.327
KY,21129,Lee County,0.4539,0.091
KY,21131,Leslie County,0.7925,0.091
KY,21133,Letcher County,0.9672,0.151
KY,21135,Lewis County,0.9159,0.064
KY,21137,Lincoln County,0.7891,0.064
KY,21139,Livingston County,0.8314,0.099
KY,21141,Logan County,0.7192,0.31
KY,21143,Lyon County,0.2823,0.078
KY,21145,McCracken County,0.9775,0.524
KY,21147,McCreary County,1,0.243
KY,21149,McLean County,0.5062,0.061
KY,21151,Madison County,0.9589,0.475
KY,21153,Magoffin County,1,0.329
KY,21155,Marion County,0.9091,0.27
KY,21157,Marshall County,0.9687,0.379
KY,21159,Martin County,0.819,0.307
KY,21161,Mason County,1,0.227
KY,21163,Meade County,1,0.638
KY,21165,Menifee County,1,0.249
KY,21167,Mercer County,0.9891,0.28
KY,21169,Metcalfe County,0.7605,0.167
KY,21171,Monroe County,0.8813,0.093
KY,21173,Montgomery County,0.9998,0.447
KY,21175,Morgan County,1,0.49
KY,21177,Muhlenberg County,0.8033,0.26
KY,21179,Nelson County,0.9592,0.393
KY,21181,Nicholas County,1,0.043
KY,21183,Ohio County,0.4722,0.17
KY,21185,Oldham County,0.9858,0.52
KY,21187,Owen County,0.8985,0.164
KY,21189,Owsley County,1,0.374
KY,21191,Pendleton County,0.8523,0.281
KY,21193,Perry County,0.9736,0.132
KY,21195,Pike County,0.9396,0.321
KY,21197,Powell County,0.7597,0.168
KY,21199,Pulaski County,0.981,0.441
KY,21201,Robertson County,1,0.088
KY,21203,Rockcastle County,0.9521,0.116
KY,21205,Rowan County,0.9901,0.319
KY,21207,Russell County,0.8605,0.606
KY,21209,Scott County,0.9882,0.5
KY,21211,Shelby County,0.998,0.516
KY,21213,Simpson County,0.6808,0.477
KY,21215,Spencer County,0.993,0.197
KY,21217,Taylor County,0.9391,0.32
KY,21219,Todd County,0.4946,0.076
KY,21221,Trigg County,0.6974,0.277
KY,21223,Trimble County,0.8323,0.072
KY,21225,Union County,0.8097,0.29
KY,21227,Warren County,0.934,0.511
KY,21229,Washington County,0.8402,0.117
KY,21231,Wayne County,0.8306,0.178
KY,21233,Webster County,0.6295,0.093
KY,21235,Whitley County,0.9653,0.483
KY,21237,Wolfe County,1,0.201
KY,21239,Woodford County,0.9909,0.38
LA,22001,Acadia Parish,0.7202,0.22
LA,22003,Allen Parish,0.6107,0.115
LA,22005,Ascension Parish,0.9878,0.692
LA,22007,Assumption Parish,0.9886,0.157
LA,22009,Avoyelles Parish,0.726,0.13
LA,22011,Beauregard Parish,0.4305,0.257
LA,22013,Bienville Parish,0.2124,0.056
LA,22015,Bossier Parish,0.874,0.584
LA,22017,Caddo Parish,0.9619,0.418
LA,22019,Calcasieu Parish,0.8958,0.321
LA,22021,Caldwell Parish,0.5206,0.212
LA,22023,Cameron Parish,0.0184,0.134
LA,22025,Catahoula Parish,0.2629,0.025
LA,22027,Claiborne Parish,0.4999,0.081
LA,22029,Concordia Parish,0.7605,0.095
LA,22031,De Soto Parish,0.7241,0.139
LA,22033,East Baton Rouge Parish,1,0.546
LA,22035,East Carroll Parish,0.6671,0.111
LA,22037,East Feliciana Parish,0.2578,0.062
LA,22039,Evangeline Parish,0.5352,0.168
LA,22041,Franklin Parish,0.3216,0.148
LA,22043,Grant Parish,0.3435,0.105
LA,22045,Iberia Parish,0.9997,0.343
LA,22047,Iberville Parish,0.8499,0.376
LA,22049,Jackson Parish,0.0886,0.033
LA,22051,Jefferson Parish,0.9841,0.533
LA,22053,Jefferson Davis Parish,0.7583,0.126
LA,22055,Lafayette Parish,0.9752,0.636
LA,22057,Lafourche Parish,0.9945,0.66
LA,22059,LaSalle Parish,0.4517,0.09
LA,22061,Lincoln Parish,0.7341,0.502
LA,22063,Livingston Parish,0.9864,0.476
LA,22065,Madison Parish,0.6987,0.199
LA,22067,Morehouse Parish,0.8647,0.323
LA,22069,Natchitoches Parish,0.6733,0.315
LA,22071,Orleans Parish,0.9346,0.403
LA,22073,Ouachita Parish,0.9675,0.439
LA,22075,Plaquemines Parish,0.7534,0.318
LA,22077,Pointe Coupee Parish,0.836,0.223
LA,22079,Rapides Parish,0.8215,0.515
LA,22081,Red River Parish,0.3175,0.072
LA,22083,Richland Parish,0.4937,0.215
LA,22085,Sabine Parish,0.2456,0.062
LA,22087,St. Bernard Parish,0.942,0.402
LA,22089,St. Charles Parish,0.9725,0.528
LA,22091,St. Helena Parish,0.2827,0.066
LA,22093,St. James Parish,0.9948,0.228
LA,22095,St. John the Baptist Parish,0.9996,0.427
LA,22097,St. Landry Parish,0.9477,0.518
LA,22099,St. Martin Parish,0.9933,0.4
LA,22101,St. Mary Parish,0.9833,0.309
LA,22103,St. Tammany Parish,0.9873,0.697
LA,22105,Tangipahoa Parish,0.8879,0.508
LA,22107,Tensas Parish,0.0305,0.054
LA,22109,Terrebonne Parish,0.9969,0.555
LA,22111,Union Parish,0.3405,0.054
LA,22113,Vermilion Parish,0.9609,0.28
LA,22115,Vernon Parish,0.5884,0.346
LA,22117,Washington Parish,0.4575,0.103
LA,22119,Webster Parish,0.6822,0.2
LA,22121,West Baton Rouge Parish,0.9128,0.42
LA,22123,West Carroll Parish,0.3195,0.137
LA,22125,West Feliciana Parish,0.3543,0.151
LA,22127,Winn Parish,0.4009,0.164
ME,23001,Androscoggin County,0.9983,0.592
ME,23003,Aroostook County,0.9163,0.436
ME,23005,Cumberland County,0.9975,0.646
ME,23007,Franklin County,0.9062,0.314
ME,23009,Hancock County,0.9101,0.48
ME,23011,Kennebec County,0.9982,0.586
ME,23013,Knox County,0.9839,0.468
ME,23015,Lincoln County,0.9645,0.445
ME,23017,Oxford County,0.921,0.362
ME,23019,Penobscot County,0.9476,0.523
ME,23021,Piscataquis County,0.8216,0.234
ME,23023,Sagadahoc County,0.9813,0.435
ME,23025,Somerset County,0.913,0.282
ME,23027,Waldo County,0.8895,0.316
ME,23029,Washington County,0.9029,0.314
ME,23031,York County,0.9897,0.574
MD,24001,Allegany County,0.9059,0.633
MD,24003,Anne Arundel County,0.9759,0.846
MD,24005,Baltimore County,0.9829,0.8
MD,24009,Calvert County,0.9779,0.758
MD,24011,Caroline County,0.9333,0.37
MD,24013,Carroll County,0.9774,0.677
MD,24015,Cecil County,0.968,0.741
MD,24017,Charles County,0.9211,0.747
MD,24019,Dorchester County,0.8922,0.509
MD,24021,Frederick County,0.9776,0.806
MD,24023,Garrett County,0.9174,0.479
MD,24025,Harford County,0.9906,0.767
MD,24027,Howard County,0.9767,0.883
MD,24029,Kent County,0.9781,0.403
MD,24031,Montgomery County,0.9879,0.81
MD,24033,Prince George's County,0.9701,0.864
MD,24035,Queen Anne's County,0.9849,0.723
MD,24037,St. Mary's County,0.9665,0.862
MD,24039,Somerset County,0.9107,0.184
MD,24041,Talbot County,0.8717,0.616
MD,24043,Washington County,0.9668,0.523
MD,24045,Wicomico County,0.9823,0.767
MD,24047,Worcester County,0.9074,0.759
MD,24510,Baltimore city,0.9872,0.591
MA,25001,Barnstable County,0.9864,0.759
MA,25003,Berkshire County,0.9398,0.56
MA,25005,Bristol County,0.9839,0.715
MA,25007,Dukes County,0.9275,0.568
MA,25009,Essex County,0.9888,0.713
MA,25011,Franklin County,0.8236,0.567
MA,25013,Hampden County,0.9814,0.694
MA,25015,Hampshire County,0.8729,0.562
MA,25017,Middlesex County,0.9867,0.812
MA,25019,Nantucket County,0.9878,0.976
MA,25021,Norfolk County,0.9783,0.781
MA,25023,Plymouth County,0.9784,0.809
MA,25025,Suffolk County,0.9843,0.623
MA,25027,Worcester County,0.9894,0.734
MI,26001,Alcona County,0.7052,0.139
MI,26003,Alger County,0.7587,0.311
MI,26005,Allegan County,0.9029,0.392
MI,26007,Alpena County,0.9211,0.803
MI,26009,Antrim County,0.9995,0.363
MI,26011,Arenac County,0.6967,0.32
MI,26013,Baraga County,0.6344,0.197
MI,26015,Barry County,0.8065,0.27
MI,26017,Bay County,0.9466,0.663
MI,26019,Benzie County,0.9385,0.317
MI,26021,Berrien County,0.9481,0.639
MI,26023,Branch County,0.9953,0.473
MI,26025,Calhoun County,0.9528,0.432
MI,26027,Cass County,0.9761,0.396
MI,26029,Charlevoix County,0.9814,0.461
MI,26031,Cheboygan County,0.8007,0.407
MI,26033,Chippewa County,0.7651,0.435
MI,26035,Clare County,0.9273,0.248
MI,26037,Clinton County,0.9876,0.439
MI,26039,Crawford County,0.9361,0.202
MI,26041,Delta County,0.8343,0.43
MI,26043,Dickinson County,0.7323,0.522
MI,26045,Eaton County,0.95,0.453
MI,26047,Emmet County,0.9923,0.513
MI,26049,Genesee County,0.9893,0.645
MI,26051,Gladwin County,0.9705,0.148
MI,26053,Gogebic County,0.802,0.56
MI,26055,Grand Traverse County,0.9817,0.679
MI,26057,Gratiot County,1,0.246
MI,26059,Hillsdale County,0.9834,0.263
MI,26061,Houghton County,0.8414,0.491
MI,26063,Huron County,0.6762,0.346
MI,26065,Ingham County,0.9826,0.604
MI,26067,Ionia County,0.9998,0.232
MI,26069,Iosco County,0.8766,0.455
MI,26071,Iron County,0.5198,0.174
MI,26073,Isabella County,0.9989,0.608
MI,26075,Jackson County,0.9225,0.508
MI,26077,Kalamazoo County,0.9825,0.637
MI,26079,Kalkaska County,0.8954,0.215
MI,26081,Kent County,0.9998,0.654
MI,26083,Keweenaw County,0.535,0.127
MI,26085,Lake County,0.4265,0.036
MI,26087,Lapeer County,0.8318,0.409
MI,26089,Leelanau County,0.9639,0.149
MI,26091,Lenawee County,0.941,0.427
MI,26093,Livingston County,0.9916,0.711
MI,26095,Luce County,0.0393,0.093
MI,26097,Mackinac County,0.5723,0.165
MI,26099,Macomb County,0.9857,0.712
MI,26101,Manistee County,0.7618,0.416
MI,26103,Marquette County,0.8928,0.597
MI,26105,Mason County,0.9338,0.523
MI,26107,Mecosta County,1,0.529
MI,26109,Menominee County,0.6622,0.125
MI,26111,Midland County,0.9778,0.74
MI,26113,Missaukee County,0.4388,0.087
MI,26115,Monroe County,0.9592,0.612
MI,26117,Montcalm County,1,0.468
